"region,""ålder"",""kön"",""1969"",""1979"",""1989"",""1999"",""2009"",""2019"""
"17 Värmlands län,""5-14 år"",""män"",19256,19376,16326,18520,14111,15953"
"17 Värmlands län,""5-14 år"",""kvinnor"",18184,18505,15306,17290,13573,15115"
"17 Värmlands län,""15-24 år"",""män"",21062,19055,19397,15878,18859,16339"
"17 Värmlands län,""15-24 år"",""kvinnor"",19307,17814,17944,14818,17363,14534"
"17 Värmlands län,""25-34 år"",""män"",16636,20336,18319,17939,14477,18540"
"17 Värmlands län,""25-34 år"",""kvinnor"",16377,18794,17116,16444,13334,16818"
"17 Värmlands län,""35-44 år"",""män"",16879,17127,20682,18176,18187,15493"
"17 Värmlands län,""35-44 år"",""kvinnor"",16479,16851,19339,17447,17232,14805"
"17 Värmlands län,""45-54 år"",""män"",19874,16488,16798,20214,18360,18671"
"17 Värmlands län,""45-54 år"",""kvinnor"",18718,16474,16761,19155,17749,17877"
"17 Värmlands län,""55-64 år"",""män"",19211,18229,15335,15916,19530,17951"
"17 Värmlands län,""55-64 år"",""kvinnor"",19055,18069,15988,16300,18911,17594"
"17 Värmlands län,""65-74 år"",""män"",13851,14901,14608,12799,14319,17609"
"17 Värmlands län,""65-74 år"",""kvinnor"",15017,16796,16302,14538,15330,17786"
"17 Värmlands län,""75-84 år"",""män"",5751,7197,8136,8689,8623,10531"
"17 Värmlands län,""75-84 år"",""kvinnor"",6995,9838,11756,11983,11390,12389"
"17 Värmlands län,""85-94 år"",""män"",1001,1211,1658,2119,2673,3178"
"17 Värmlands län,""85-94 år"",""kvinnor"",1339,2118,3365,4469,5096,5392"
"17 Värmlands län,""95+ år"",""män"",28,46,76,70,116,188"
"17 Värmlands län,""95+ år"",""kvinnor"",42,87,162,292,411,540"
"18 Örebro län,""0-4 år"",""män"",10132,7965,8416,7313,7940,8945"
"18 Örebro län,""0-4 år"",""kvinnor"",9562,7646,8150,6947,7533,8541"
"18 Örebro län,""5-14 år"",""män"",18345,19304,15786,18273,15453,18687"
"18 Örebro län,""5-14 år"",""kvinnor"",17599,18637,15135,17558,14685,17653"
"18 Örebro län,""15-24 år"",""män"",20800,18116,19193,16312,19085,18887"
"18 Örebro län,""15-24 år"",""kvinnor"",20194,17467,18314,15675,18824,17769"
"18 Örebro län,""25-34 år"",""män"",18002,20302,17560,18372,16202,21110"
"18 Örebro län,""25-34 år"",""kvinnor"",16848,19720,16662,17564,15434,19768"
"18 Örebro län,""35-44 år"",""män"",14753,17420,19875,17775,18834,17809"
"18 Örebro län,""35-44 år"",""kvinnor"",14927,16341,19470,17090,18304,17171"
"18 Örebro län,""45-54 år"",""män"",18641,13986,16801,19573,17720,19728"
"18 Örebro län,""45-54 år"",""kvinnor"",18664,14404,16010,19334,17351,19172"
"18 Örebro län,""55-64 år"",""män"",17770,16882,12811,15825,18782,17413"
"18 Örebro län,""55-64 år"",""kvinnor"",17880,17607,13823,15437,18893,17278"
"18 Örebro län,""65-74 år"",""män"",12105,13791,13609,10781,14117,16914"
"18 Örebro län,""65-74 år"",""kvinnor"",13346,15626,15701,12656,14330,17614"
"18 Örebro län,""75-84 år"",""män"",5121,6446,7873,8500,7294,10585"
"18 Örebro län,""75-84 år"",""kvinnor"",6707,9060,11208,11831,9946,11787"
"18 Örebro län,""85-94 år"",""män"",935,1200,1652,2149,2595,2588"
"18 Örebro län,""85-94 år"",""kvinnor"",1388,2149,3242,4472,5071,4611"
"18 Örebro län,""95+ år"",""män"",28,32,70,81,103,185"
"18 Örebro län,""95+ år"",""kvinnor"",40,122,162,304,386,590"
"19 Västmanlands län,""0-4 år"",""män"",11179,7722,8164,6508,7042,8213"
"19 Västmanlands län,""0-4 år"",""kvinnor"",10347,7356,7778,6323,6606,7675"
"19 Västmanlands län,""5-14 år"",""män"",19618,19901,14879,17704,13642,16849"
"19 Västmanlands län,""5-14 år"",""kvinnor"",18411,18647,14169,16982,13082,15716"
"19 Västmanlands län,""15-24 år"",""män"",21303,19086,19332,14753,17184,16216"
